Name;Description;Img Link;Price;Rating;Seller
Samsung Galaxy A12 6/128 GB Garansi Resmi SEIN;Ready Stock *03 Desember 2021. . Kardus & Bubble Warp :. https://www.tokopedia.com/gudang-hp/kardus-bubble-extra-packing. . Anti Crack :. https://www.tokopedia.com/gudang-hp/anti-crack-samsung-a12. . . SIM Sin;data:image/png base64,iVBORw0KGgoAAAANSUhEUgAAAHgAAAB4CAQAAACTbf5ZAAAAiklEQVR42u3PMQEAAAwCoNm/9Cr4Cw3IjYmwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsHDrASUpAHnJhbktAAAAAElFTkSuQmCC;Rp2.377.000;4.9;Gudang-HP
Samsung Galaxy A03s 4/64 GB Garansi Resmi SEIN;Ready Stok *02 Desember 2021. . SIM Dual SIM (Nano-SIM, dual stand-by). Type PLS LCD. Size 6.5 inches. PLATFORM OS Android 11, One UI 3.1 Core. Chipset MediaTek MT6765 Helio P35 (12nm). CPU Octa-core (4x2.35;data:image/png base64,iVBORw0KGgoAAAANSUhEUgAAAHgAAAB4CAQAAACTbf5ZAAAAiklEQVR42u3PMQEAAAwCoNm/9Cr4Cw3IjYmwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsHDrASUpAHnJhbktAAAAAElFTkSuQmCC;Rp1.750.000;4.9;Gudang-HP
Samsung Galaxy A02 3/32 GB Garansi Resmi SEIN;Ready Stock *03 Desember 2021. . SIM Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by). Size 6.5 inches,. PLATFORM OS Android 10, One UI 2.0. Chipset Mediatek MT6739W (28 nm). CPU Quad-core 1.5 GH;data:image/png base64,iVBORw0KGgoAAAANSUhEUgAAAHgAAAB4CAQAAACTbf5ZAAAAiklEQVR42u3PMQEAAAwCoNm/9Cr4Cw3IjYmwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsHDrASUpAHnJhbktAAAAAElFTkSuQmCC;Rp1.475.000;4.9;Gudang-HP
Oppo Reno 6 Ram 8GB+128GB Garansi Resmi Oppo 1 Tahun;Oppo Reno 6 Ram 8GB+128GB Garansi Resmi Oppo 1 Tahun. . Penting. - Garansi Resmi Oppo Indonesia. - Imei Terdaftar di Kemenprin. . Kelengkapan. - Handphone. - Headset. - Charger. - Softcase. - Kartu garansi Bagia;data:image/png base64,iVBORw0KGgoAAAANSUhEUgAAAHgAAAB4CAQAAACTbf5ZAAAAiklEQVR42u3PMQEAAAwCoNm/9Cr4Cw3IjYmwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsHDrASUpAHnJhbktAAAAAElFTkSuQmCC;Rp4.419.000;5;36shop
Xiaomi Redmi Note 9 6/128 GB Garansi Resmi;Ready Stok *03 Desember 2021. . Tambahan extra bubble dan kardus. https://www.tokopedia.com/gudang-hp/kardus-bubble-extra-packing. . SIM Dual SIM (Nano-SIM, dual stand-by). Size 6.53 inches, 104.7 cm2 (~83.;data:image/png base64,iVBORw0KGgoAAAANSUhEUgAAAHgAAAB4CAQAAACTbf5ZAAAAiklEQVR42u3PMQEAAAwCoNm/9Cr4Cw3IjYmwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsHDrASUpAHnJhbktAAAAAElFTkSuQmCC;Rp2.448.000;4.9;Gudang-HP
XIAOMI Mi POCO X3 Pro 6/128GB NFC Snapdragon™ 860 48MP 5160mAh;Xiaomi Official Store Garansi Resmi. POCO X3 Pro memiliki teknologi memori UFS 3.1 yang ditingkatkan, POCO X3 Pro menawarkan kecepatan baca dan tulis yang tajam.. POCO X3 Pro menggunakan Teknologi Liqui;data:image/png base64,iVBORw0KGgoAAAANSUhEUgAAAHgAAAB4CAQAAACTbf5ZAAAAiklEQVR42u3PMQEAAAwCoNm/9Cr4Cw3IjYmwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsHDrASUpAHnJhbktAAAAAElFTkSuQmCC;Rp3.499.000;4.9;Xiaomi Official Store
Samsung M02 2/32 GB Garansi Resmi;Ready Stock *03 Desember 2021. . . SIM Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by). Size 6.5 inches, 102.0 cm2 (~81.9% screen-to-body ratio). PLATFORM OS Android 10, One UI 2.0. Chipset Medi;data:image/png base64,iVBORw0KGgoAAAANSUhEUgAAAHgAAAB4CAQAAACTbf5ZAAAAiklEQVR42u3PMQEAAAwCoNm/9Cr4Cw3IjYmwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsHDrASUpAHnJhbktAAAAAElFTkSuQmCC;Rp1.319.000;4.9;Gudang-HP
Infinix Note 10 Pro 8/128 GB Garansi Resmi;Ready Stok *04 Desember 2021. . SIM Dual SIM (Nano-SIM, dual stand-by). Size 6.95 inches. PLATFORM OS Android 11, XOS 7.6. Chipset Mediatek Helio G95 (12 nm). CPU Octa-core (2x2.05 GHz Cortex-A76 & 6x2.0 GH;data:image/png base64,iVBORw0KGgoAAAANSUhEUgAAAHgAAAB4CAQAAACTbf5ZAAAAiklEQVR42u3PMQEAAAwCoNm/9Cr4Cw3IjYmwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsHDrASUpAHnJhbktAAAAAElFTkSuQmCC;Rp2.718.000;5;Gudang-HP
INFINIX NOTE 10 PRO NFC RAM 8 128 RAM 6 64 GARANSI RESMI;GARANSI RESMI INFINIX INDONESIA,IMEI TERDAFTAR. . MOHON CHAT DULU SEBELUM PEMBAYARAN. . UNTUK BONUS ACCESORIES,BISA PILIH DI VARIAN GIFT(UTK NON GIFT=TANPA BONUS ACCESORIES/STANDARD DLM BOXNYA). . PERMINTAA;data:image/png base64,iVBORw0KGgoAAAANSUhEUgAAAHgAAAB4CAQAAACTbf5ZAAAAiklEQVR42u3PMQEAAAwCoNm/9Cr4Cw3IjYmwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsHDrASUpAHnJhbktAAAAAElFTkSuQmCC;Rp2.489.000;4.9;Bintang Terang Cell
Samsung Galaxy A12 4/128 GB Garansi Resmi SEIN;Ready Stock *03 Desember 2021. . Kardus & Bubble Warp :. https://www.tokopedia.com/gudang-hp/kardus-bubble-extra-packing. . Anti Crack :. https://www.tokopedia.com/gudang-hp/anti-crack-samsung-a12. . SIM Sing;data:image/png base64,iVBORw0KGgoAAAANSUhEUgAAAHgAAAB4CAQAAACTbf5ZAAAAiklEQVR42u3PMQEAAAwCoNm/9Cr4Cw3IjYmwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsHDrASUpAHnJhbktAAAAAElFTkSuQmCC;Rp2.153.000;4.9;Gudang-HP
Xiaomi Poco X3 GT 8/128GG + 8/256GB Garansi Resmi;Unit baru dan bersegel ~. Garansi Resmi Xiaomi Indonesia... . . NETWORK Technology GSM / HSPA / LTE / 5G. LAUNCH Announced 2021, July 28. Status Coming soon. Exp. release 2021, August. BODY Dimensions 163.3 ;data:image/png base64,iVBORw0KGgoAAAANSUhEUgAAAHgAAAB4CAQAAACTbf5ZAAAAiklEQVR42u3PMQEAAAwCoNm/9Cr4Cw3IjYmwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsHDrASUpAHnJhbktAAAAAElFTkSuQmCC;Rp4.199.000;4.9;duniagadgetku
IPhone 12 Pro Max Garansi Resmi Ibox;Green Peel. New Product. Garansi Resmi Apple indonesia. . - Prodak Garansi 364 Hari. ( Tidak Sampai Setahun ). Pada saat Aktifasi Connect Wifi. . . Garansi Resmi Apple. Tidak ada Garansi Toko. Dengan Mengaktifka;data:image/png base64,iVBORw0KGgoAAAANSUhEUgAAAHgAAAB4CAQAAACTbf5ZAAAAiklEQVR42u3PMQEAAAwCoNm/9Cr4Cw3IjYmwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsHDrASUpAHnJhbktAAAAAElFTkSuQmCC;Rp18.799.000;5;PT Pratama Sntra Semesta
Xiaomi Redmi Note 10s 8/128 GB Garasni Resmi;Ready Stock *01 Desember 2021. . . SIM Dual SIM (Nano-SIM, dual stand-by). DISPLAY Type AMOLED, 450 nits (typ), 1100 nits (peak). Size 6.43 inches, 99.8 cm2 (~83.5% screen-to-body ratio). PLATFORM OS Androi;data:image/png base64,iVBORw0KGgoAAAANSUhEUgAAAHgAAAB4CAQAAACTbf5ZAAAAiklEQVR42u3PMQEAAAwCoNm/9Cr4Cw3IjYmwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsHDrASUpAHnJhbktAAAAAElFTkSuQmCC;Rp3.054.000;5;Gudang-HP
Infinix Smart 5 3/64 GB Garansi Resmi;Ready Stock *04 Desember 2021. . . SIM Dual SIM (Nano-SIM, dual stand-by). Size 6.6 inches, 105.2 cm2 (~83.2% screen-to-body ratio). PLATFORM OS Android 10 (Go edition). Chipset Mediatek MT6761D Helio A20 (;data:image/png base64,iVBORw0KGgoAAAANSUhEUgAAAHgAAAB4CAQAAACTbf5ZAAAAiklEQVR42u3PMQEAAAwCoNm/9Cr4Cw3IjYmwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsHDrASUpAHnJhbktAAAAAElFTkSuQmCC;Rp1.384.000;5;Gudang-HP
Xiaomi Redmi Note 10s 6/64 GB Garansi Resmi;Ready Stock *04 Desember 2021. . . SIM Dual SIM (Nano-SIM, dual stand-by). DISPLAY Type AMOLED, 450 nits (typ), 1100 nits (peak). Size 6.43 inches, 99.8 cm2 (~83.5% screen-to-body ratio). PLATFORM OS Androi;data:image/png base64,iVBORw0KGgoAAAANSUhEUgAAAHgAAAB4CAQAAACTbf5ZAAAAiklEQVR42u3PMQEAAAwCoNm/9Cr4Cw3IjYmwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsHDrASUpAHnJhbktAAAAAElFTkSuQmCC;Rp2.677.000;5;Gudang-HP
Infinix Note 10 Pro NFC 6/64 GB + 8/128 GB Garansi Resmi;Baru dan Bersegel. Garansi Resmi , IMEI Terdaftar. . . . NETWORK Technology. GSM / HSPA / LTE. LAUNCH Announced 2021, May 12. Status Available. Released 2021, June 07. BODY Dimensions 172.8 x 78.3 x 7.8 mm (6.;data:image/png base64,iVBORw0KGgoAAAANSUhEUgAAAHgAAAB4CAQAAACTbf5ZAAAAiklEQVR42u3PMQEAAAwCoNm/9Cr4Cw3IjYmwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsHDrASUpAHnJhbktAAAAAElFTkSuQmCC;Rp2.550.000;5;duniagadgetku
Xiaomi Redmi 9A 2/32 ~ 3/32 GB Garansi Resmi , IMEI Terdaftar;Garansi Resmi Xiaomi Indonesia. IMEI terdaftar. . 2GB 32GB ~ Ram 2 GB Internal 32 GB. 3GB 32 GB ~ Ram 3 GB Internal 32 GB. . NETWORK Technology. GSM / HSPA / LTE. LAUNCH Announced 2020, June 30. Status Availab;data:image/png base64,iVBORw0KGgoAAAANSUhEUgAAAHgAAAB4CAQAAACTbf5ZAAAAiklEQVR42u3PMQEAAAwCoNm/9Cr4Cw3IjYmwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsHDrASUpAHnJhbktAAAAAElFTkSuQmCC;Rp1.299.000;5;duniagadgetku
Xiaomi Poco X3 Pro 8/256 GB Garansi Resmi;Ready Stock *27 November 2021. . . SIM Hybrid Dual SIM (Nano-SIM, dual stand-by). DISPLAY Type IPS LCD, 120Hz, HDR10, 450 nits (typ). Size 6.67 inches,. PLATFORM OS Android 11, MIUI 12 for POCO. Chipset Qual;data:image/png base64,iVBORw0KGgoAAAANSUhEUgAAAHgAAAB4CAQAAACTbf5ZAAAAiklEQVR42u3PMQEAAAwCoNm/9Cr4Cw3IjYmwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsHDrASUpAHnJhbktAAAAAElFTkSuQmCC;Rp3.900.000;4.9;Gudang-HP
Samsung M32 6/128GB GARANSI RESMI SAMSUNG INDONESIA;Utk detail spec bisa search ke website resmi samsung indonesia... . . DISPLAY Type Super AMOLED, 90Hz, 800 nits (HBM). Size 6.4 inches, 98.9 cm2 (~83.9% screen-to-body ratio). PLATFORM OS Android 11, One U;data:image/png base64,iVBORw0KGgoAAAANSUhEUgAAAHgAAAB4CAQAAACTbf5ZAAAAiklEQVR42u3PMQEAAAwCoNm/9Cr4Cw3IjYmwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsHDrASUpAHnJhbktAAAAAElFTkSuQmCC;Rp2.825.000;5;centralphone73
Samsung Galaxy A32 6/128 GB Garansi Resmi SEIN;Ready Stock *03 Desember 2021. . . SIM Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by). Size 6.4 inches, 98.9 cm2 (~84.6% screen-to-body ratio). PLATFORM OS Android 11, One UI 3.1. Chipset Media;data:image/png base64,iVBORw0KGgoAAAANSUhEUgAAAHgAAAB4CAQAAACTbf5ZAAAAiklEQVR42u3PMQEAAAwCoNm/9Cr4Cw3IjYmwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsHDrASUpAHnJhbktAAAAAElFTkSuQmCC;Rp3.419.000;5;Gudang-HP
Poco X3 Pro 6/128GB + 8/268GB Garansi Resmi;Baru dan segel,. Garansi resmi xiaomi indonesia,. IMEI terdaftar, service di gerai resmi... . . NETWORK Technology. GSM / HSPA / LTE. LAUNCH Announced 2021, March 22. Status Available. Released 2021, March 24;data:image/png base64,iVBORw0KGgoAAAANSUhEUgAAAHgAAAB4CAQAAACTbf5ZAAAAiklEQVR42u3PMQEAAAwCoNm/9Cr4Cw3IjYmwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsHDrASUpAHnJhbktAAAAAElFTkSuQmCC;Rp3.435.000;5;duniagadgetku
Vivo V21 4G 8/128GB + 8/256GB Garansi Resmi Vivo Indonesia;Garansi Resmi Vivo Indonesia,. IMEI Terdaftar, Service di Gerai Resmi. Tentang Garansi. - Garansi akan otomatis aktif saat smartphone vivo dinyalakan dan terkoneksi internet.. . . NETWORK Technology. GSM / H;data:image/png base64,iVBORw0KGgoAAAANSUhEUgAAAHgAAAB4CAQAAACTbf5ZAAAAiklEQVR42u3PMQEAAAwCoNm/9Cr4Cw3IjYmwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsHDrASUpAHnJhbktAAAAAElFTkSuQmCC;Rp3.575.000;5;duniagadgetku
SAMSUNG GALAXY M02 - 5000mAh Battery - 2GB 32GB 2/32 - Garansi Resmi;SAMSUNG GALAXY M02 2/32GB. . GARANSI RESMI SEIN SAMSUNG INDONESIA. IMEI TERDAFTAR DI WEBSITE KEMENPERIN. . WARNA TERSEDIA SESUAI VARIAN. - BIRU. - MERAH. . Spesifikasi :. . NETWORK Technology. GSM / HSPA / LTE. LA;data:image/png base64,iVBORw0KGgoAAAANSUhEUgAAAHgAAAB4CAQAAACTbf5ZAAAAiklEQVR42u3PMQEAAAwCoNm/9Cr4Cw3IjYmwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsHDrASUpAHnJhbktAAAAAElFTkSuQmCC;Rp1.319.900;4.9;Shopyz ID
Nokia Feature Phone N-150 New 2020 Dual Sim Garansi Resmi;Garansi Resmi 1 Tahun. . BERIKUT SPESIFIKASINYA:. NETWORK Technology GSM. Type TFT, 65K colors. Size 2.4 inches,. Dimensions 132 x 50.5 x 15 mm (5.20 x 1.99 x 0.59 in). Weight 90.5 g (3.21 oz). SIM Dual SIM (;data:image/png base64,iVBORw0KGgoAAAANSUhEUgAAAHgAAAB4CAQAAACTbf5ZAAAAiklEQVR42u3PMQEAAAwCoNm/9Cr4Cw3IjYmwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsHDrASUpAHnJhbktAAAAAElFTkSuQmCC;Rp425.000;5;Indokom Store
Infinix Hot 10S 6/128GB - Garansi Resmi Infinix Indonesia;Infinix Hot 10S ram 6/128 GB. Garansi Resmi Infinix Indonesia. . NETWORK Technology. GSM / HSPA / LTE. LAUNCH Announced 2021, April 21. Status Coming soon. Exp. release 2021, May 12. BODY Dimensions 171.5 x ;data:image/png base64,iVBORw0KGgoAAAANSUhEUgAAAHgAAAB4CAQAAACTbf5ZAAAAiklEQVR42u3PMQEAAAwCoNm/9Cr4Cw3IjYmwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsHDrASUpAHnJhbktAAAAAElFTkSuQmCC;Rp2.055.000;4.9;Wahana Selular
oppo reno 5 marvel edition 8gb/128gb;null;data:image/png base64,iVBORw0KGgoAAAANSUhEUgAAAHgAAAB4CAQAAACTbf5ZAAAAiklEQVR42u3PMQEAAAwCoNm/9Cr4Cw3IjYmwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsHDrASUpAHnJhbktAAAAAElFTkSuQmCC;Rp6.700.000;null;healthy-V
